target_word,word_length,is_in_vocabulary,apply_jitter,sample_index,pred_hier_greedy,correct_hier_greedy,pred_hier_beam,correct_hier_beam,pred_flat_greedy,correct_flat_greedy,pred_flat_beam,correct_flat_beam,flat_rescued,flat_hurt
PUL,3,True,False,4,PUL,True,PUL,True,PUL,True,PUL,True,False,False
SU,2,True,False,0,SU,True,SU,True,SU,True,SU,True,False,False
SU,2,True,False,1,SU,True,SU,True,SU,True,SU,True,False,False
SU,2,True,False,2,SU,True,SU,True,SU,True,SU,True,False,False
SU,2,True,False,3,SU,True,SU,True,SU,True,SU,True,False,False
SU,2,True,False,4,SU,True,SU,True,SU,True,SU,True,False,False
EV,2,True,False,0,EV,True,EV,True,EV,True,EV,True,False,False
EV,2,True,False,1,EV,True,EV,True,EV,True,EV,True,False,False
EV,2,True,False,2,EV,True,EV,True,EV,True,EV,True,False,False
EV,2,True,False,3,EV,True,EV,True,EV,True,EV,True,False,False
EV,2,True,False,4,EV,True,EV,True,EV,True,EV,True,False,False
GÖZƏL,5,True,False,0,GÖZƏL,True,GÖZƏL,True,GÖZƏL,True,GÖZƏL,True,False,False
GÖZƏL,5,True,False,1,GÖZƏL,True,GÖZƏL,True,GÖZƏL,True,GÖZƏL,True,False,False
GÖZƏL,5,True,False,2,GÖZƏL,True,GÖZƏL,True,GÖZƏL,True,GÖZƏL,True,False,False
GÖZƏL,5,True,False,3,GÖZƏL,True,GÖZƏL,True,GÖZƏL,True,GÖZƏL,True,False,False
GÖZƏL,5,True,False,4,GÖZƏL,True,GÖZƏL,True,GÖZƏL,True,GÖZƏL,True,False,False
QƏLƏM,5,False,False,0,QƏLƏM,True,QƏLƏM,True,QƏLƏM,True,QƏLƏM,True,False,False
QƏLƏM,5,False,False,1,QƏLƏM,True,QƏLƏM,True,QƏLƏM,True,QƏLƏM,True,False,False
QƏLƏM,5,False,False,2,QƏLƏM,True,QƏLƏM,True,QƏLƏM,True,QƏLƏM,True,False,False
QƏLƏM,5,False,False,3,QƏLƏM,True,QƏLƏM,True,QƏLƏM,True,QƏLƏM,True,False,False
QƏLƏM,5,False,False,4,QƏLƏM,True,QƏLƏM,True,QƏLƏM,True,QƏLƏM,True,False,False
BAHAR,5,False,False,0,BAHAR,True,BAHAR,True,BAHAR,True,BAHAR,True,False,False
BAHAR,5,False,False,1,BAHAR,True,BAHAR,True,BAHAR,True,BAHAR,True,False,False
BAHAR,5,False,False,2,BAHAR,True,BAHAR,True,BAHAR,True,BAHAR,True,False,False
BAHAR,5,False,False,3,BAHAR,True,BAHAR,True,BAHAR,True,BAHAR,True,False,False
BAHAR,5,False,False,4,BAHAR,True,BAHAR,True,BAHAR,True,BAHAR,True,False,False
SƏMA,4,False,False,0,SƏMA,True,SƏMA,True,SƏMA,True,SƏMA,True,False,False
SƏMA,4,False,False,1,SƏMA,True,SƏMA,True,SƏMA,True,SƏMA,True,False,False
SƏMA,4,False,False,2,SƏMA,True,SƏMA,True,SƏMA,True,SƏMA,True,False,False
SƏMA,4,False,False,3,SƏMA,True,SƏMA,True,SƏMA,True,SƏMA,True,False,False
SƏMA,4,False,False,4,SƏMA,True,SƏMA,True,SƏMA,True,SƏMA,True,False,False
BULUD,5,False,False,0,BULUD,True,BULUD,True,BULUD,True,BULUD,True,False,False
BULUD,5,False,False,1,BULUD,True,BULUD,True,BULUD,True,BULUD,True,False,False
BULUD,5,False,False,2,BULUD,True,BULUD,True,BULUD,True,BULUD,True,False,False
BULUD,5,False,False,3,BULUD,True,BULUD,True,BULUD,True,BULUD,True,False,False
BULUD,5,False,False,4,BULUD,True,BULUD,True,BULUD,True,BULUD,True,False,False
GƏMİ,4,False,False,0,GƏMİ,True,GƏMİ,True,GƏMİ,True,GƏMİ,True,False,False
GƏMİ,4,False,False,1,GƏMİ,True,GƏMİ,True,GƏMİ,True,GƏMİ,True,False,False
GƏMİ,4,False,False,2,GƏMİ,True,GƏMİ,True,GƏMİ,True,GƏMİ,True,False,False
GƏMİ,4,False,False,3,GƏMİ,True,GƏMİ,True,GƏMİ,True,GƏMİ,True,False,False
GƏMİ,4,False,False,4,GƏMİ,True,GƏMİ,True,GƏMİ,True,GƏMİ,True,False,False
HƏYAT,5,False,False,0,HƏYAT,True,HƏYAT,True,HƏYAT,True,HƏYAT,True,False,False
HƏYAT,5,False,False,1,HƏYAT,True,HƏYAT,True,HƏYAT,True,HƏYAT,True,False,False
HƏYAT,5,False,False,2,HƏYAT,True,HƏYAT,True,HƏYAT,True,HƏYAT,True,False,False
HƏYAT,5,False,False,3,HƏYAT,True,HƏYAT,True,HƏYAT,True,HƏYAT,True,False,False
HƏYAT,5,False,False,4,HƏYAT,True,HƏYAT,True,HƏYAT,True,HƏYAT,True,False,False
VƏTƏN,5,False,False,0,VƏTƏN,True,VƏTƏN,True,VƏTƏN,True,VƏTƏN,True,False,False
VƏTƏN,5,False,False,1,VƏTƏN,True,VƏTƏN,True,VƏTƏN,True,VƏTƏN,True,False,False
VƏTƏN,5,False,False,2,VƏTƏN,True,VƏTƏN,True,VƏTƏN,True,VƏTƏN,True,False,False
VƏTƏN,5,False,False,3,VƏTƏN,True,VƏTƏN,True,VƏTƏN,True,VƏTƏN,True,False,False
VƏTƏN,5,False,False,4,VƏTƏN,True,VƏTƏN,True,VƏTƏN,True,VƏTƏN,True,False,False
BAYRAQ,6,False,False,0,BAYRAQ,True,BAYRAQ,True,BAYRAQ,True,BAYRAQ,True,False,False
BAYRAQ,6,False,False,1,BAYRAQ,True,BAYRAQ,True,BAYRAQ,True,BAYRAQ,True,False,False
BAYRAQ,6,False,False,2,BAYRAQ,True,BAYRAQ,True,BAYRAQ,True,BAYRAQ,True,False,False
BAYRAQ,6,False,False,3,BAYRAQ,True,BAYRAQ,True,BAYRAQ,True,BAYRAQ,True,False,False
BAYRAQ,6,False,False,4,BAYRAQ,True,BAYRAQ,True,BAYRAQ,True,BAYRAQ,True,False,False
ÇANTA,5,False,False,0,ÇANTA,True,ÇANTA,True,ÇANTA,True,ÇANTA,True,False,False
ÇANTA,5,False,False,1,ÇANTA,True,ÇANTA,True,ÇANTA,True,ÇANTA,True,False,False
ÇANTA,5,False,False,2,ÇANTA,True,ÇANTA,True,ÇANTA,True,ÇANTA,True,False,False
ÇANTA,5,False,False,3,ÇANTA,True,ÇANTA,True,ÇANTA,True,ÇANTA,True,False,False
ÇANTA,5,False,False,4,ÇANTA,True,ÇANTA,True,ÇANTA,True,ÇANTA,True,False,False
DƏFTƏR,6,False,False,0,DƏFTƏR,True,DƏFTƏR,True,DƏFTƏR,True,DƏFTƏR,True,False,False
DƏFTƏR,6,False,False,1,DƏFTƏR,True,DƏFTƏR,True,DƏFTƏR,True,DƏFTƏR,True,False,False
DƏFTƏR,6,False,False,2,DƏFTƏR,True,DƏFTƏR,True,DƏFTƏR,True,DƏFTƏR,True,False,False
DƏFTƏR,6,False,False,3,DƏFTƏR,True,DƏFTƏR,True,DƏFTƏR,True,DƏFTƏR,True,False,False
DƏFTƏR,6,False,False,4,DƏFTƏR,True,DƏFTƏR,True,DƏFTƏR,True,DƏFTƏR,True,False,False
PƏNCƏRƏ,7,False,False,0,PƏNCƏRƏ,True,PƏNCƏRƏ,True,PƏNCƏRƏ,True,PƏNCƏRƏ,True,False,False
PƏNCƏRƏ,7,False,False,1,PƏNCƏRƏ,True,PƏNCƏRƏ,True,PƏNCƏRƏ,True,PƏNCƏRƏ,True,False,False
PƏNCƏRƏ,7,False,False,2,PƏNCƏRƏ,True,PƏNCƏRƏ,True,PƏNCƏRƏ,True,PƏNCƏRƏ,True,False,False
PƏNCƏRƏ,7,False,False,3,PƏNCƏRƏ,True,PƏNCƏRƏ,True,PƏNCƏRƏ,True,PƏNCƏRƏ,True,False,False
PƏNCƏRƏ,7,False,False,4,PƏNCƏRƏ,True,PƏNCƏRƏ,True,PƏNCƏRƏ,True,PƏNCƏRƏ,True,False,False
MƏKTUB,6,False,False,0,MƏKTUB,True,MƏKTUB,True,MƏKTUB,True,MƏKTUB,True,False,False
MƏKTUB,6,False,False,1,MƏKTUB,True,MƏKTUB,True,MƏKTUB,True,MƏKTUB,True,False,False
MƏKTUB,6,False,False,2,MƏKTUB,True,MƏKTUB,True,MƏKTUB,True,MƏKTUB,True,False,False
MƏKTUB,6,False,False,3,MƏKTUB,True,MƏKTUB,True,MƏKTUB,True,MƏKTUB,True,False,False
MƏKTUB,6,False,False,4,MƏKTUB,True,MƏKTUB,True,MƏKTUB,True,MƏKTUB,True,False,False
BULAQ,5,False,False,0,BULAQ,True,BULAQ,True,BULAQ,True,BULAQ,True,False,False
BULAQ,5,False,False,1,BULAQ,True,BULAQ,True,BULAQ,True,BULAQ,True,False,False
BULAQ,5,False,False,2,BULAQ,True,BULAQ,True,BULAQ,True,BULAQ,True,False,False
BULAQ,5,False,False,3,BULAQ,True,BULAQ,True,BULAQ,True,BULAQ,True,False,False
BULAQ,5,False,False,4,BULAQ,True,BULAQ,True,BULAQ,True,BULAQ,True,False,False
YAĞIŞ,5,False,False,0,YAĞIŞ,True,YAĞIŞ,True,YAĞIŞ,True,YAĞIŞ,True,False,False
YAĞIŞ,5,False,False,1,YAĞIŞ,True,YAĞIŞ,True,YAĞIŞ,True,YAĞIŞ,True,False,False
YAĞIŞ,5,False,False,2,YAĞIŞ,True,YAĞIŞ,True,YAĞIŞ,True,YAĞIŞ,True,False,False
YAĞIŞ,5,False,False,3,YAĞIŞ,True,YAĞIŞ,True,YAĞIŞ,True,YAĞIŞ,True,False,False
YAĞIŞ,5,False,False,4,YAĞIŞ,True,YAĞIŞ,True,YAĞIŞ,True,YAĞIŞ,True,False,False
QUMLUQ,6,False,False,0,QUMLUQ,True,QUMLUQ,True,QUMLUQ,True,QUMLUQ,True,False,False
QUMLUQ,6,False,False,1,QUMLUQ,True,QUMLUQ,True,QUMLUQ,True,QUMLUQ,True,False,False
QUMLUQ,6,False,False,2,QUMLUQ,True,QUMLUQ,True,QUMLUQ,True,QUMLUQ,True,False,False
QUMLUQ,6,False,False,3,QUMLUQ,True,QUMLUQ,True,QUMLUQ,True,QUMLUQ,True,False,False
QUMLUQ,6,False,False,4,QUMLUQ,True,QUMLUQ,True,QUMLUQ,True,QUMLUQ,True,False,False
BAKI,4,True,True,0,BAKI,True,BAKI,True,BAKI,True,BAKI,True,False,False
BAKI,4,True,True,1,BAKI,True,BAKI,True,BAKI,True,BAKI,True,False,False
BAKI,4,True,True,2,ZAKI,False,BAKI,True,YAKI,False,BAKI,True,False,False
BAKI,4,True,True,3,BAKI,True,BAKI,True,BAKI,True,BAKI,True,False,False
BAKI,4,True,True,4,BAKI,True,BAKI,True,BAKI,True,BAKI,True,False,False
SALAM,5,True,True,0,SALAM,True,SALAM,True,SALAM,True,SALAM,True,False,False
SALAM,5,True,True,1,SALAM,True,SALAM,True,SALAM,True,SALAM,True,False,False
SALAM,5,True,True,2,SALAM,True,SALAM,True,SALAM,True,SALAM,True,False,False
SALAM,5,True,True,3,SAHAM,False,SALAM,True,SALAM,True,SALAM,True,False,False
SALAM,5,True,True,4,SALAL,False,SALAM,True,SALAL,False,SALAM,True,False,False
GÜL,3,True,True,0,GÜL,True,GÜL,True,GÜL,True,GÜL,True,False,False
GÜL,3,True,True,1,GÜL,True,GÜL,True,GÜL,True,GÜL,True,False,False
GÜL,3,True,True,2,GÜL,True,GÜL,True,GÜL,True,GÜL,True,False,False
GÜL,3,True,True,3,GÜH,False,GÜL,True,GÜL,True,GÜL,True,False,False
GÜL,3,True,True,4,GÜL,True,GÜL,True,GÜL,True,GÜL,True,False,False
DƏNİZ,5,True,True,0,DƏNİZ,True,DƏNİZ,True,DƏNİZ,True,DƏNİZ,True,False,False
DƏNİZ,5,True,True,1,DƏNİZ,True,DƏNİZ,True,DƏNİZ,True,DƏNİZ,True,False,False
DƏNİZ,5,True,True,2,DƏNİZ,True,DƏNİZ,True,DƏNİZ,True,DƏNİZ,True,False,False
DƏNİZ,5,True,True,3,DƏNYZ,False,DƏNİZ,True,DƏNYZ,False,DƏNİZ,True,False,False
DƏNİZ,5,True,True,4,DƏNİZ,True,DƏNİZ,True,DƏNİZ,True,DƏNİZ,True,False,False
KİTAB,5,True,True,0,KİTAY,False,KİTAB,True,KİTAY,False,KİTAB,True,False,False
KİTAB,5,True,True,1,KİTAB,True,KİTAB,True,KİTAB,True,KİTAB,True,False,False
KİTAB,5,True,True,2,KİTAK,False,KİTAB,True,KİTAB,True,KİTAB,True,False,False
KİTAB,5,True,True,3,KYTAB,False,KİTAB,True,KYTAB,False,KİTAB,True,False,False
KİTAB,5,True,True,4,KİYAB,False,KİTAB,True,KİTAB,True,KİTAB,True,False,False
ANA,3,True,True,0,ANA,True,ANA,True,ANA,True,ANA,True,False,False
ANA,3,True,True,1,ANA,True,ANA,True,ANA,True,ANA,True,False,False
ANA,3,True,True,2,ANA,True,ANA,True,ANA,True,ANA,True,False,False
ANA,3,True,True,3,ANA,True,ANA,True,ANA,True,ANA,True,False,False
ANA,3,True,True,4,ANA,True,ANA,True,ANA,True,ANA,True,False,False
BİZ,3,True,True,0,BİZ,True,BİZ,True,BİZ,True,BİZ,True,False,False
BİZ,3,True,True,1,BİZ,True,BİZ,True,BİZ,True,BİZ,True,False,False
BİZ,3,True,True,2,ZİZ,False,BİZ,True,YİZ,False,BİZ,True,False,False
BİZ,3,True,True,3,BYZ,False,BİZ,True,BYZ,False,BİZ,True,False,False
BİZ,3,True,True,4,BİZ,True,BİZ,True,BİZ,True,BİZ,True,False,False
ŞƏHƏR,5,True,True,0,ŞƏHƏR,True,ŞƏHƏR,True,ŞƏHƏR,True,ŞƏHƏR,True,False,False
ŞƏHƏR,5,True,True,1,ŞƏHƏR,True,ŞƏHƏR,True,ŞƏHƏR,True,ŞƏHƏR,True,False,False
ŞƏHƏR,5,True,True,2,ŞƏHƏR,True,ŞƏHƏR,True,ŞƏHƏR,True,ŞƏHƏR,True,False,False
ŞƏHƏR,5,True,True,3,ŞƏHƏR,True,ŞƏHƏR,True,ŞƏHƏR,True,ŞƏHƏR,True,False,False
ŞƏHƏR,5,True,True,4,ŞƏHƏR,True,ŞƏHƏR,True,ŞƏHƏR,True,ŞƏHƏR,True,False,False
DOST,4,True,True,0,DOST,True,DOST,True,DOST,True,DOST,True,False,False
DOST,4,True,True,1,DÖST,False,DOST,True,DOST,True,DOST,True,False,False
DOST,4,True,True,2,DOST,True,DOST,True,DOST,True,DOST,True,False,False
DOST,4,True,True,3,DOST,True,DOST,True,DOST,True,DOST,True,False,False
DOST,4,True,True,4,DOST,True,DOST,True,DOST,True,DOST,True,False,False
ALMA,4,True,True,0,ALMA,True,ALMA,True,ALMA,True,ALMA,True,False,False
ALMA,4,True,True,1,ALMA,True,ALMA,True,ALMA,True,ALMA,True,False,False
ALMA,4,True,True,2,ALMA,True,ALMA,True,ALMA,True,ALMA,True,False,False
ALMA,4,True,True,3,AHMA,False,ALMA,True,ALMA,True,ALMA,True,False,False
ALMA,4,True,True,4,ALMA,True,ALMA,True,ALMA,True,ALMA,True,False,False
ÇÖRƏK,5,True,True,0,ÇÖRƏK,True,ÇÖRƏK,True,ÇÖRƏK,True,ÇÖRƏK,True,False,False
ÇÖRƏK,5,True,True,1,ÇÖRƏK,True,ÇÖRƏK,True,ÇÖRƏK,True,ÇÖRƏK,True,False,False
ÇÖRƏK,5,True,True,2,ÇÖRƏK,True,ÇÖRƏK,True,ÇÖRƏK,True,ÇÖRƏK,True,False,False
ÇÖRƏK,5,True,True,3,ÇÖRƏK,True,ÇÖRƏK,True,ÇÖRƏK,True,ÇÖRƏK,True,False,False
ÇÖRƏK,5,True,True,4,ÇÖRƏK,True,ÇÖRƏK,True,ÇÖRƏK,True,ÇÖRƏK,True,False,False
PUL,3,True,True,0,PUL,True,PUL,True,PUL,True,PUL,True,False,False
PUL,3,True,True,1,PUL,True,PUL,True,PUL,True,PUL,True,False,False
PUL,3,True,True,2,YUL,False,PUL,True,YUL,False,PUL,True,False,False
PUL,3,True,True,3,PUH,False,PUL,True,PUL,True,PUL,True,False,False
PUL,3,True,True,4,PUL,True,PUL,True,PUL,True,PUL,True,False,False
SU,2,True,True,0,SU,True,SU,True,SU,True,SU,True,False,False
SU,2,True,True,1,SU,True,SU,True,SU,True,SU,True,False,False
SU,2,True,True,2,SU,True,SU,True,SU,True,SU,True,False,False
SU,2,True,True,3,SU,True,SU,True,SU,True,SU,True,False,False
SU,2,True,True,4,SU,True,SU,True,SU,True,SU,True,False,False
EV,2,True,True,0,EV,True,EV,True,EV,True,EV,True,False,False
EV,2,True,True,1,EV,True,EV,True,EV,True,EV,True,False,False
EV,2,True,True,2,EV,True,EV,True,EV,True,EV,True,False,False
EV,2,True,True,3,EV,True,EV,True,EV,True,EV,True,False,False
EV,2,True,True,4,JV,False,EV,True,EV,True,EV,True,False,False
GÖZƏL,5,True,True,0,GÖZƏL,True,GÖZƏL,True,GÖZƏL,True,GÖZƏL,True,False,False
GÖZƏL,5,True,True,1,GÖZƏL,True,GÖZƏL,True,GÖZƏL,True,GÖZƏL,True,False,False
GÖZƏL,5,True,True,2,GÖZƏL,True,GÖZƏL,True,GÖZƏL,True,GÖZƏL,True,False,False
GÖZƏL,5,True,True,3,GÖZƏL,True,GÖZƏL,True,GÖZƏL,True,GÖZƏL,True,False,False
GÖZƏL,5,True,True,4,GÖZƏL,True,GÖZƏL,True,GÖZƏL,True,GÖZƏL,True,False,False
QƏLƏM,5,False,True,0,QƏLƏM,True,QƏLƏM,True,QƏLƏM,True,QƏLƏM,True,False,False
QƏLƏM,5,False,True,1,QƏLƏM,True,QƏLƏM,True,QƏLƏM,True,QƏLƏM,True,False,False
QƏLƏM,5,False,True,2,QƏLƏM,True,QƏLƏM,True,QƏLƏM,True,QƏLƏM,True,False,False
QƏLƏM,5,False,True,3,QƏHƏM,False,QƏHƏM,False,QƏLƏM,True,QƏLƏM,True,True,False
QƏLƏM,5,False,True,4,QƏLƏL,False,QƏLƏL,False,QƏLƏL,False,QƏLƏL,False,False,False
BAHAR,5,False,True,0,BAHAR,True,BAHAR,True,BAHAR,True,BAHAR,True,False,False
BAHAR,5,False,True,1,BAHAR,True,BAHAR,True,BAHAR,True,BAHAR,True,False,False
BAHAR,5,False,True,2,ZAHAR,False,ZAHAR,False,YAHAR,False,YAHAR,False,False,False
BAHAR,5,False,True,3,BAHAR,True,BAHAR,True,BAHAR,True,BAHAR,True,False,False
BAHAR,5,False,True,4,BAHAR,True,BAHAR,True,BAHAR,True,BAHAR,True,False,False
SƏMA,4,False,True,0,SƏMA,True,SƏMA,True,SƏMA,True,SƏMA,True,False,False
SƏMA,4,False,True,1,SƏMA,True,SƏMA,True,SƏMA,True,SƏMA,True,False,False
SƏMA,4,False,True,2,SƏMA,True,SƏMA,True,SƏMA,True,SƏMA,True,False,False
SƏMA,4,False,True,3,SƏMA,True,SƏMA,True,SƏMA,True,SƏMA,True,False,False
SƏMA,4,False,True,4,SƏMA,True,SƏMA,True,SƏMA,True,SƏMA,True,False,False
BULUD,5,False,True,0,BULUD,True,BULUD,True,BULUD,True,BULUD,True,False,False
BULUD,5,False,True,1,BULUD,True,BULUD,True,BULUD,True,BULUD,True,False,False
BULUD,5,False,True,2,ZULUD,False,ZULUD,False,YULUD,False,YULUD,False,False,False
BULUD,5,False,True,3,BUHUD,False,BUHUD,False,BULUD,True,BULUD,True,True,False
BULUD,5,False,True,4,BULUD,True,BULUD,True,BULUD,True,BULUD,True,False,False
GƏMİ,4,False,True,0,GƏMİ,True,GƏMİ,True,GƏMİ,True,GƏMİ,True,False,False
GƏMİ,4,False,True,1,GƏMİ,True,GƏMİ,True,GƏMİ,True,GƏMİ,True,False,False
GƏMİ,4,False,True,2,GƏMİ,True,GƏMİ,True,GƏMİ,True,GƏMİ,True,False,False
GƏMİ,4,False,True,3,GƏMY,False,GƏMY,False,GƏMY,False,GƏMY,False,False,False
GƏMİ,4,False,True,4,GƏMİ,True,GƏMİ,True,GƏMİ,True,GƏLİ,False,False,True
HƏYAT,5,False,True,0,HƏYAL,False,HƏYAL,False,HƏYAP,False,HƏYAL,False,False,False
HƏYAT,5,False,True,1,HƏYAT,True,HƏYAT,True,HƏYAT,True,HƏYAT,True,False,False
HƏYAT,5,False,True,2,HƏYAT,True,HƏYAT,True,HƏYAT,True,HƏYAT,True,False,False
HƏYAT,5,False,True,3,HƏYAT,True,HƏYAT,True,HƏYAT,True,HƏYAT,True,False,False
HƏYAT,5,False,True,4,HƏYAT,True,HƏYAT,True,QƏYAT,False,HƏYAT,True,False,False
VƏTƏN,5,False,True,0,VƏTƏN,True,VƏTƏN,True,VƏTƏN,True,VƏTƏN,True,False,False
VƏTƏN,5,False,True,1,VƏTƏN,True,VƏTƏN,True,VƏTƏN,True,VƏTƏN,True,False,False
VƏTƏN,5,False,True,2,VƏTƏN,True,VƏTƏN,True,VƏTƏN,True,VƏTƏN,True,False,False
VƏTƏN,5,False,True,3,VƏTƏN,True,VƏTƏN,True,VƏTƏN,True,VƏTƏN,True,False,False
VƏTƏN,5,False,True,4,VƏYƏN,False,VƏYƏN,False,VƏTƏN,True,VƏTƏN,True,True,False
BAYRAQ,6,False,True,0,BAYRAQ,True,BAYRAQ,True,BAYRAQ,True,BAYRAQ,True,False,False
BAYRAQ,6,False,True,1,BAYRAQ,True,BAYRAQ,True,BAYRAQ,True,BAYRAQ,True,False,False
BAYRAQ,6,False,True,2,ZAYRAQ,False,ZAYRAQ,False,YAYRAQ,False,YAYRAQ,False,False,False
BAYRAQ,6,False,True,3,BAYRAQ,True,BAYRAQ,True,BAYRAQ,True,BAYRAQ,True,False,False
